11,11,1,1,0,0
11,11,1,1,0,0
11,11,1,0,1,0
11,11,1,1,0,0
11,11,1,0,1,0
11,11,1,1,0,0
11,11,1,0,1,0
11,11,1,1,0,0
11,11,1,0,1,0
11,11,1,1,0,0
11,11,1,0,1,0
11,11,1,1,0,0
11,11,1,0,1,0
7,12,1,1,0,0
7,12,1,0,1,0
7,12,1,1,0,0
7,12,1,0,1,0
8,12,1,1,0,0
8,12,1,0,1,0
8,12,1,1,0,0
8,12,1,0,1,0
10,12,1,1,0,0
10,12,1,0,1,0
11,12,1,1,0,0
11,12,1,0,1,0
11,12,1,1,0,0
11,12,1,0,1,0
11,12,1,1,0,0
11,12,1,0,1,0
11,12,1,1,0,0
11,12,1,0,1,0
11,12,1,1,0,0
11,12,1,0,1,0
12,12,1,1,0,0
12,12,1,1,0,0
12,12,1,0,1,0
12,12,1,1,0,0
12,12,1,0,1,0
12,12,1,1,0,0
12,12,1,0,1,0
12,12,1,1,0,0
12,12,1,0,1,0
14,12,1,1,0,0
14,12,1,0,1,0
14,12,1,1,0,0
14,12,1,0,1,0
16,12,1,1,0,0
16,12,1,0,1,0
17,12,1,1,0,0
17,12,1,0,1,0
19,12,1,1,0,0
19,12,1,0,1,0
19,12,1,1,0,0
19,12,1,0,1,0
19,12,1,1,0,0
19,12,1,1,0,0
19,12,1,0,1,0
19,12,1,1,0,0
19,12,1,0,1,0
19,12,1,1,0,0
19,12,1,0,1,0
19,12,1,1,0,0
19,12,1,1,0,0
19,12,1,0,1,0
20,12,1,1,0,0
20,12,1,0,1,0
8,13,1,1,0,0
8,13,1,0,1,0
8,13,1,1,0,0
8,13,1,0,1,0
8,13,1,1,0,0
8,13,1,0,1,0
8,13,1,1,0,0
8,13,1,0,0,1
8,13,1,1,0,0
8,13,1,0,1,0
8,13,1,1,0,0
8,13,1,0,1,0
8,13,1,1,0,0
15,13,1,1,0,0
15,13,1,0,1,0
17,13,1,1,0,0
17,13,1,1,0,0
17,13,1,0,1,0
11,18,3,1,0,0
11,18,3,0,1,0
